chr    source
chr1    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr1.maf.gz
chr2    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr2.maf.gz
chr3    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr3.maf.gz
chr4    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr4.maf.gz
chr5    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr5.maf.gz
chr6    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr6.maf.gz
chr7    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr7.maf.gz
chr8    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr8.maf.gz
chr9    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr9.maf.gz
chr10    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr10.maf.gz
chr11    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr11.maf.gz
chr12    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr12.maf.gz
chr13    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr13.maf.gz
chr14    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr14.maf.gz
chr15    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr15.maf.gz
chr16    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr16.maf.gz
chr17    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr17.maf.gz
chr18    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr18.maf.gz
chr19    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr19.maf.gz
chr20    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr20.maf.gz
chr21    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr21.maf.gz
chr22    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chr22.maf.gz
chrX    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chrX.maf.gz
chrY    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chrY.maf.gz
chrM    https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz20way/maf/chrM.maf.gz
